"artifact","field","locale","occurrences","scalar_utf8_bytes","types","source_candidates_not_usage_proof"
"src/lib/generated/details/characters/*","name","localized","97","1092","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/CompactEntityCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/EndgameOverviewCard.svelte;... 110 candidate files"
"src/lib/generated/details/characters/*","description","localized","97","18292","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/mechanics/BuffOptionTile.svelte;src/lib/components/endgame/mechanics/MechanicEntry.svelte;src/lib/components/endgame/mechanics/MechanicSectionCard.svelte;src/lib/components/endgame/modes/AnomalyArbitrationDetailContent.svelte;... 47 candidate files"
"src/lib/generated/details/characters/*","rarity","neutral","97","97","number","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EnemyCatalogPage.svelte;src/lib/components/EquipmentRecommendationSection.svelte;src/lib/components/LightConeCatalogPage.svelte;src/lib/components/LightConeOverviewCard.svelte;src/lib/components/OverviewToolbar.svelte;... 28 candidate files"
"src/lib/generated/details/characters/*","path","neutral","97","778","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EquipmentRecommendationSection.svelte;src/lib/components/FilterChip.svelte;src/lib/components/FilterGroup.svelte;src/lib/components/LightConeCatalogPage.svelte;src/lib/components/LightConeOverviewCard.svelte;... 71 candidate files"
"src/lib/generated/details/characters/*","pathName","localized","97","776","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EquipmentRecommendationSection.svelte;src/lib/components/LightConeCatalogPage.svelte;src/lib/components/LightConeOverviewCard.svelte;src/lib/domain/enemy-view.ts;src/lib/domain/types.ts;... 14 candidate files"
"src/lib/generated/details/characters/*","element","neutral","97","805","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/CompactEntityCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/mechanics/BuffOptionTile.svelte;src/lib/components/endgame/mechanics/MechanicEntry.svelte;src/lib/components/endgame/mechanics/MechanicSectionCard.svelte;... 38 candidate files"
"src/lib/generated/details/characters/*","elementName","localized","97","614","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/domain/enemy-view.ts;src/lib/domain/types.ts;scripts/data/sync.ts;scripts/data/validate.ts;tests/e2e/site.spec.ts;... 10 candidate files"
"src/lib/generated/details/characters/*","kind","neutral","97","1067","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DescriptionText.svelte;src/lib/components/DetailPage.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/mechanics/MechanicSectionCard.svelte;src/lib/components/endgame/modes/AnomalyArbitrationDetailContent.svelte;src/lib/components/endgame/modes/ApocalypticShadowMechanicsSection.svelte;... 54 candidate files"
"src/lib/generated/details/characters/*","fullName","localized","97","194","string","src/lib/components/DetailPage.svelte;src/lib/domain/types.ts;scripts/data/sync.ts"
"src/lib/generated/details/characters/*","profiles.base.energy.kind","neutral","97","964","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DescriptionText.svelte;src/lib/components/DetailPage.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/mechanics/MechanicSectionCard.svelte;src/lib/components/endgame/modes/AnomalyArbitrationDetailContent.svelte;src/lib/components/endgame/modes/ApocalypticShadowMechanicsSection.svelte;... 54 candidate files"
